District,population
Bagalkot,83973
Bidar,59898
Bengaluru (Rural),17931
Bengaluru (Urban),414125
Belagavi,100481
Ballari,230907
Dakshina Kannada,14903
Chikkaballapura,31459
Chikkamagaluru,39781
Chitradurga,95559
Chamarajanagara,38141
Davanagere,51091
Dharwad,161819
Gadag,58589
Haveri,73707
Hassan,111246
Kolara,63346
Kalburgi,141884
Kodagu,8107
Mandya,56862
Koppal,52003
Raichur,83625
Mysuru,87809
Ramanagara,27318
Shivamogga,123664
Tumakuru,120173
Udupi,6615
Vijayapura,80958
Uttara Kannada,18376
Yadagiri,50226
